[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Invalid target node for include tag in layout XML, was %s
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.DownwardClipImageView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.fee.CalculationFeeDividerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.SeparatorTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownContainer
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class requestFocus
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class x
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.RecipientSelectionView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class x
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class view
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.RecipientSelectionView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.FloatingHintAutocompleteTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.FloatingHintEditText
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.PhoneNumberField
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.activate.EnterPinView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.activate.EnterPinView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.layouts.CardAnimationLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.widget.BusinessCategoryView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.layouts.CardAnimationLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.design.screens.LoadingErrorLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.activate.EnterPinView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.activate.EnterPinView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.ui.card.layouts.CardAnimationLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class fr.castorflex.android.smoothprogressbar.SmoothProgressBar
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.transferwise.android.transferflow.ui.widget.calculation.CalculationBreakdownView
